@relation pima_diabetes-weka.filters.unsupervised.attribute.Remove-R9_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A8-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric

@data
0.10318,-0.009462,-0.013863,0.02316,-0.007539,0.051807,0.005517,0.085915
-0.020945,0.017055,0.018634,-0.026908,0.033081,-0.075171,0.006762,0.000782
0.008409,-0.059796,-0.019542,0.034753,0.010255,-0.022796,-0.035221,-0.038169
0.003878,0.060521,-0.001863,0.04378,-0.037191,0.007618,-0.020808,-0.011039
0.010667,-0.046172,0.021685,0.098373,0.006219,-0.025108,-0.007347,0.023917
0.004247,-0.000484,0.023515,-0.002231,-0.020542,-0.057544,-0.015482,-0.035642
0.118563,-0.019319,-0.032046,-0.045516,0.123019,-0.044177,-0.04507,0.027057
0.027708,-0.013491,-0.003224,-0.026429,0.017174,-0.034029,0.020293,-0.045584
-0.003251,0.023859,-0.02859,-0.017546,0.016273,0.048706,-0.024536,-0.006446
-0.03437,-0.010433,-0.031363,-0.013915,-0.010532,-0.010295,-0.043297,0.030415
0.015643,0.049149,0.094129,-0.122713,-0.065943,0.008215,-0.048799,-0.036051
0.00105,0.038762,0.024568,0.007019,0.026871,0.039556,0.002028,-0.053246
0.016834,0.014798,-0.000272,-0.040149,-0.000883,0.020843,0.010248,-0.017207
-0.013453,0.028592,0.001046,-0.01161,-0.017567,0.026999,-0.026422,-0.007175
0.016335,0.011554,0.059073,0.064831,-0.026494,-0.023933,0.02176,0.05066
0.008454,-0.018516,0.066084,0.014018,-0.008613,0.01129,0.001696,0.066489
-0.015992,0.015025,-0.01164,-0.04046,-0.014978,0.038624,0.00897,-0.033142
-0.029108,-0.006915,0.065585,0.011852,-0.007419,-0.051283,0.019342,0.057883
0.021286,0.007195,-0.067854,0.011572,0.054285,0.031854,0.005259,0.075301
0.144276,-0.06662,-0.049957,0.028374,0.063107,0.001292,0.005028,-0.036368
-0.04923,-0.004018,-0.029785,-0.019039,0.014434,0.009064,0.040352,0.039854
0.027503,0.057682,0.065994,-0.124811,-0.057189,0.03551,-0.002071,-0.042562
-0.015801,-0.026954,0.002782,0.016765,-0.025892,-0.033567,-0.025951,-0.033917
0.017572,-0.024634,-0.02239,0.005583,-0.047675,0.079851,-0.019983,-0.035808
0.017154,0.035361,0.034368,-0.038632,0.034896,-0.00412,-0.007137,0.014474
-0.007388,-0.029957,-0.011178,0.012978,-0.043731,-0.014161,-0.008972,-0.026049
-0.026548,0.036571,-0.016297,-0.002235,-0.013059,0.003924,-0.021448,0.004843
0.053833,0.037573,-0.050059,0.018285,0.03129,0.017609,0.011236,0.006261
0.067175,-0.051304,-0.073745,0.065936,-0.011845,0.011827,0.039208,-0.02382
-0.00113,0.043375,0.008845,-0.015413,0.001342,0.031134,0.01033,-0.037027
-0.036396,0.041659,0.024995,0.012069,0.024959,-0.025922,-0.00585,-0.009144
0.026949,-0.021984,-0.010989,-0.007463,0.020627,0.036642,-0.004425,-0.004498
-0.021882,0.026173,0.037984,-0.022044,0.01537,-0.012695,-0.021002,0.021499
-0.022151,-0.08297,-0.009554,0.055251,-0.017134,-0.02525,-0.084537,-0.027174
-0.059809,-0.02709,0.046365,0.037259,0.020928,0.019117,0.016295,-0.014973
-0.020381,0.026626,-0.041863,-0.010618,0.019542,0.032415,-0.005323,-0.001081
-0.035073,0.010403,-0.049921,-0.03599,-0.052536,0.110843,0.00921,-0.004386
-0.008055,-0.038776,-0.032503,0.038209,-0.049414,0.050144,-0.021924,-0.032113
-0.033105,0.002007,-0.037312,-0.009773,0.005081,0.003957,-0.033653,0.020954
-0.00068,-0.096491,-0.040001,-0.106023,-0.035266,-0.054577,0.062189,0.002578
-0.012268,0.044086,-0.004176,-0.025411,0.012794,-0.002019,-0.005947,-0.016682
-0.024129,0.026355,0.014099,-0.055933,-0.012723,-0.011639,-0.004377,-0.023533
0.011227,0.061792,0.060633,-0.121331,-0.072573,0.040188,0.007996,-0.040504
0.012871,0.001161,-0.001322,0.017037,-0.00878,0.049978,-0.051053,0.00991
-0.015248,0.060027,-0.016471,-0.031942,0.014734,0.008713,0.011311,-0.008031
-0.038787,-0.05874,-0.052734,0.076791,0.017031,-0.040501,0.006244,-0.046997
0.007276,0.002664,-0.000458,0.000604,0.027366,0.028042,-0.000339,0.006687
-0.046149,0.036653,-0.016742,-0.002995,-0.049693,-0.023869,-0.089162,0.088478
-0.029073,-0.016814,-0.030713,-0.006232,0.006216,0.011487,0.014017,0.007172
-0.060685,-0.020052,0.036689,0.013914,-0.050281,-0.037351,-0.084248,0.04859
-0.022656,0.040045,-0.014182,-0.018679,0.007722,-0.000327,0.012566,-0.022732
-0.010015,0.01786,0.003645,-0.029434,-0.011208,0.038009,0.009592,-0.060441
-0.009455,-0.015528,0.023166,0.030897,0.000821,0.017423,0.014435,-0.013887
-0.038169,-0.023914,-0.062735,0.023094,-0.03604,0.014324,-0.016392,0.061915
0.053659,0.032945,-0.009358,0.030673,-0.062637,-0.023158,0.045803,-0.02199
0.016303,0.031224,0.026332,-0.001429,0.061199,-0.003978,-0.023001,-0.03934
-0.023284,-0.006988,0.039625,0.021456,-0.020081,-0.010135,0.017685,0.026183
-0.036882,0.025745,-0.031109,-0.028104,-0.003881,0.006105,0.003758,0.005951
-0.009884,0.02515,0.008931,-0.041312,-0.017529,0.056689,0.012839,-0.015044
-0.033649,0.005178,0.011336,-0.043091,-0.012878,0.018276,-0.040805,0.019122
-0.042955,-0.013653,-0.035373,0.03299,0.029049,0.006074,0.044692,0.063169
0.078011,-0.054679,-0.024665,0.001475,0.05934,-0.036368,0.001905,-0.043889
-0.014897,0.012675,0.013222,-0.028107,0.020102,-0.046528,0.02142,-0.060146
-0.015052,0.043409,0.004083,0.028123,0.044495,-0.00094,0.013512,-0.088318
-0.019622,0.024781,-0.01601,-0.004062,0.002599,0.039694,0.011525,-0.024273
0.028569,-0.077817,-0.048429,-0.000734,0.017071,0.036164,-0.007356,-0.039265
0.017839,0.003321,0.025174,-0.035876,0.038067,0.017618,0.001903,0.006738
-0.022748,0.054661,-0.011745,0.07967,0.034616,0.035583,0.007623,-0.095863
-0.004201,0.020156,0.026109,-0.016235,-0.015722,-0.02278,0.019816,0.024694
-0.026286,0.004119,-0.034195,-0.03099,-0.005862,0.020225,-0.010292,0.020295
-0.033293,0.009385,-0.047211,0.01413,0.024283,0.016351,0.024587,-0.01022
-0.038372,0.028418,0.030045,-0.013613,0.036206,-0.054601,0.008701,0.010829
-0.007184,-0.062777,0.110727,0.037831,-0.039142,0.028081,0.035805,0.047909
-0.036268,0.041174,-0.029647,-0.00799,0.01329,0.022072,0.008089,0.007204
-0.022845,-0.050181,-0.027572,-0.005423,-0.014278,0.032046,-0.012183,-0.042431
0.012172,0.002413,0.04951,-0.021336,-0.010006,-0.03039,-0.015992,0.040987
0.065143,0.010993,-0.026446,0.063378,-0.030707,-0.029136,0.03675,-0.027716
-0.012598,-0.022293,-0.016496,0.019604,-0.021103,-0.023051,0.006026,-0.037286
-0.000372,-0.068057,-0.019414,-0.02825,-0.01544,0.033165,-0.03058,-0.032891
-0.017136,0.014338,-0.007417,-0.032888,0.007838,0.011854,-0.033636,-0.007191
-0.038205,0.029744,0.018957,-0.00064,0.008567,0.022426,-0.022453,-0.037957
-0.002625,-0.013789,-0.053589,-0.017129,0.076821,-0.052012,0.014542,0.070694
-0.044807,0.024307,-0.015482,-0.032378,0.006234,-0.017712,-0.047312,0.030802
-0.025767,0.009124,-0.007811,-0.004157,0.023349,0.01686,0.002195,0.00479
0.05386,0.029595,-0.022605,0.054733,-0.082188,-0.025295,0.05475,-0.012553
-0.018115,-0.0152,-0.028241,0.006515,0.021848,-0.003253,0.028807,-0.060751
-0.024035,-0.086693,-0.076477,-0.064065,-0.012238,0.006408,0.034119,0.083298
-0.021912,-0.033833,-0.019729,0.003133,0.011128,-0.000532,0.014904,0.026372
-0.027753,0.021708,-0.008307,-0.035209,0.013616,-0.005024,0.01961,0.025217
0.006452,0.01145,-0.015062,0.041183,0.00132,0.018428,0.048886,0.004698
0.101318,0.016067,-0.052087,0.053947,-0.039916,0.025757,0.069956,-0.025506
-0.005834,0.001043,0.050211,0.005424,0.013241,-0.041436,0.018668,-0.016215
0.041616,-0.072479,0.010263,-0.01522,0.003892,-0.001662,-0.079419,-0.029128
-0.018371,0.010756,0.041975,-0.013376,0.021191,-0.037435,0.025954,0.035256
-0.016743,-0.010839,-0.040264,0.009665,-0.027657,0.015937,-0.04787,0.033776
0.02022,0.025349,0.011718,-0.010472,0.012375,0.039797,-0.009902,-0.03479
-0.031647,-0.005755,0.005244,-0.008784,-0.015217,-0.008306,0.044834,0.004795
0.001598,0.015787,-0.020038,-0.017029,0.034705,0.025573,0.005118,-0.008727
0.000017,0.011026,-0.007345,-0.026272,0.016285,0.037582,0.016905,-0.002981
0.0329,-0.00988,-0.02122,0.013133,0.037351,-0.004747,0.018888,-0.059996
-0.065636,-0.039421,0.043398,0.025909,-0.016221,0.044246,0.02486,0.024111
0.047733,0.046892,-0.00558,0.034136,-0.048408,-0.011646,0.044318,-0.035132
-0.021362,0.006528,-0.047623,0.018072,-0.009883,-0.009086,-0.010378,0.022586
-0.024785,0.000528,-0.00851,-0.040778,0.004823,0.001969,0.005955,0.008181
-0.01891,-0.039296,0.000658,0.015167,-0.052881,-0.009499,-0.041767,-0.023441
-0.048833,-0.009583,0.065651,-0.010795,0.0155,-0.012201,0.018329,0.018976
0.037077,0.147028,0.049469,-0.028497,0.033479,0.044185,-0.022773,-0.051177
-0.046759,0.02791,-0.037547,0.020655,-0.056551,0.039151,-0.048904,0.041255
0.084306,-0.002767,-0.004041,-0.015882,0.034858,0.050377,-0.021313,0.03075
0.043165,0.000985,-0.03049,0.048684,-0.065769,-0.04742,0.052551,-0.009932
-0.040933,0.028743,-0.016915,-0.012287,-0.000211,0.015062,0.002339,-0.027416
-0.029194,0.024422,0.007179,-0.008602,0.038717,-0.00272,0.023537,0.049548
0.02246,0.014957,0.008683,-0.001384,-0.021371,0.003638,-0.001094,-0.045217
0.048236,-0.020593,0.037905,0.032686,0.029035,-0.006442,-0.064645,0.019918
-0.026604,-0.043106,0.073092,0.034316,0.054266,0.036967,0.053781,0.038803
-0.03079,-0.064692,-0.01788,0.029518,-0.008095,-0.109489,-0.001763,-0.021452
-0.038682,-0.005285,-0.04988,0.015176,0.023383,-0.069385,-0.0361,0.052827
0.007335,-0.003353,0.01995,-0.035538,0.010783,0.035915,-0.005908,-0.021173
0.028258,0.001929,0.023898,-0.029698,0.025234,0.03859,0.002264,-0.009536
-0.035564,0.01541,-0.010796,-0.001408,0.007145,0.030087,0.002688,-0.022671
-0.007886,-0.036285,0.042544,0.011277,-0.017776,-0.052002,-0.12769,0.072794
-0.0066,0.077931,-0.009461,0.010561,0.023859,-0.046775,-0.014825,0.01655
-0.025656,0.012247,-0.018568,0.017695,-0.042978,0.007075,-0.005597,0.059021
-0.053943,-0.032957,-0.004595,0.029789,0.012849,0.02708,0.070972,0.028422
-0.019622,0.019249,-0.018634,-0.028055,0.016197,0.007905,-0.010864,-0.011395
0.0398,-0.005684,-0.02497,0.028205,0.039973,-0.003799,0.020618,-0.061576
0.022136,-0.01798,0.019176,0.026274,-0.018642,0.040819,-0.011643,0.004161
-0.028952,0.025106,-0.003515,-0.030502,0.030895,-0.050889,-0.012324,-0.007027
0.030861,-0.022757,-0.006068,0.002072,0.0037,-0.000526,-0.013289,-0.043591
-0.002463,-0.031244,-0.01193,-0.00214,-0.001513,0.000527,-0.009871,-0.044894
-0.004902,0.01018,0.004782,0.03271,0.021085,0.022854,-0.004,-0.039462
-0.025468,-0.012543,-0.012138,0.03257,-0.024955,0.004095,-0.011573,-0.045877
-0.017193,-0.023826,0.020668,0.001151,0.013031,-0.008467,-0.024477,0.005317
0.03943,-0.030488,-0.017067,-0.123377,-0.031451,0.016174,-0.005782,0.035816
-0.007975,-0.023174,-0.062713,-0.031036,0.021692,0.032368,-0.002684,0.046615
-0.002225,0.013127,-0.02721,-0.007223,-0.022473,0.044144,0.016057,0.008269
0.009553,0.024808,0.043596,-0.009445,0.027728,-0.053987,-0.051001,0.045069
0.001893,-0.023703,-0.024671,0.034341,-0.039673,0.027015,-0.009303,-0.034772
-0.067969,-0.065219,-0.099303,0.060415,0.066413,-0.025508,0.044143,0.047498
-0.008498,-0.054275,-0.045656,0.037452,-0.027916,-0.053776,0.03056,-0.019351
0.039938,-0.058996,-0.026081,0.029424,0.023117,-0.009419,-0.025775,-0.039768
-0.03415,0.014198,0.004988,0.02443,-0.030314,0.02396,-0.019905,-0.055917
0.014155,-0.022807,-0.011723,-0.016396,0.036421,0.011827,0.018183,-0.013733
-0.035772,0.005838,-0.054407,0.006494,-0.02317,0.124598,-0.000839,-0.01929
-0.024888,-0.02128,-0.007437,-0.008723,-0.03061,0.036626,-0.01872,-0.044879
0.007078,0.011138,0.001007,0.014968,-0.015727,-0.034098,0.015103,-0.043501
0.034583,0.012082,0.007347,-0.016316,0.025671,-0.093058,-0.040445,0.023304
0.031753,-0.014342,0.115811,0.048047,-0.04753,0.005327,0.048742,0.074113
0.074427,0.041811,-0.022313,0.022811,0.077176,0.022063,-0.027548,0.015688
-0.010402,0.026618,0.028078,0.001184,0.00589,0.023113,-0.064442,0.029975
-0.037174,0.022047,0.033658,0.005562,0.027822,-0.008774,-0.019793,0.0134
-0.029969,0.012939,0.015178,-0.020238,-0.000918,-0.002133,-0.004516,-0.061765
-0.02083,0.026365,0.011109,-0.00237,-0.022556,-0.012164,-0.04725,0.0592
-0.000238,-0.016125,0.019164,-0.00194,-0.005905,-0.056878,-0.024631,-0.038731
-0.002276,-0.167711,-0.02518,-0.084009,-0.074019,-0.067995,-0.036256,0.037452
-0.015096,0.025832,-0.001537,-0.015602,-0.068722,0.013933,-0.028362,0.014666
-0.037652,0.001839,0.027086,0.017775,0.033656,-0.026804,-0.004867,0.035493
-0.01955,0.006816,0.000005,-0.025798,0.000217,0.004792,0.01666,-0.058746
0.013818,0.011626,0.019204,-0.02331,0.018345,0.024401,-0.023802,-0.032406
0.014166,0.003716,-0.006072,-0.026727,0.031444,0.021602,-0.03882,0.044611
-0.043822,-0.010793,0.071849,-0.001541,-0.00834,-0.000813,0.038146,0.019311
0.027676,0.005818,-0.024538,-0.003394,0.059557,0.015641,-0.010995,-0.037562
-0.022065,-0.032181,-0.036334,0.020938,0.024172,-0.037195,0.033088,-0.052681
0.048741,0.027413,-0.026543,-0.014403,0.020888,0.017315,0.01015,-0.012098
-0.011813,0.048925,0.01095,-0.007851,-0.00384,0.023817,0.006603,-0.029767
0.004385,-0.012434,-0.010449,0.037396,-0.063696,0.025219,0.033893,0.058909
-0.011502,0.052015,0.006614,-0.016366,0.009577,0.00117,-0.042075,-0.003993
0.029836,-0.018208,0.057118,0.041477,-0.020488,-0.051673,0.020915,0.050824
0.001775,-0.000134,-0.026453,0.076061,-0.012721,-0.061412,0.029614,-0.039542
-0.032339,0.003907,-0.015098,-0.01946,0.011703,0.021914,0.015779,0.002405
-0.004049,0.041604,0.000233,0.008365,0.018343,-0.089831,-0.030899,0.022998
-0.017152,0.022901,-0.024193,-0.027296,-0.008086,0.02688,-0.001249,-0.00663
-0.023164,0.052217,-0.056037,-0.01435,0.064082,-0.052186,0.005847,0.046971
0.015717,0.064505,-0.016288,0.046466,-0.025073,-0.086006,0.007216,0.033373
-0.018148,-0.030533,-0.018085,-0.013238,0.03397,-0.021489,0.040254,0.010414
-0.047878,-0.004651,0.027606,0.031103,-0.020907,0.01493,-0.03477,0.027786
-0.022781,-0.055762,0.05752,0.016175,-0.003394,-0.01066,-0.063962,0.064314
-0.026845,-0.003056,0.00395,-0.023079,0.010739,0.012999,-0.02722,0.042237
-0.012385,0.012212,0.024134,-0.005507,-0.000977,0.000334,-0.024466,0.018671
0.057989,-0.006001,-0.018925,-0.001278,0.0237,0.051094,-0.06382,-0.005003
-0.006874,-0.04527,-0.032934,0.013868,-0.036675,-0.014683,0.013781,-0.023745
0.023926,-0.057844,0.101341,-0.003202,0.066101,0.023518,0.052014,0.016588
0.107345,0.011749,-0.035073,0.06134,-0.021347,-0.033392,0.056297,-0.022893
0.006314,-0.040103,0.022886,-0.098715,-0.086786,-0.033397,-0.003422,0.004186
0.061198,0.016661,0.029689,0.012178,-0.05676,-0.00268,0.01589,0.064777
0.023499,0.019886,0.003774,-0.014083,0.016539,0.034916,0.002326,-0.027927
-0.049525,0.018812,-0.037965,0.000592,0.010968,0.019252,0.01485,-0.005431
-0.023178,-0.023914,-0.042214,0.012988,0.007076,0.005061,0.038695,-0.053872
0.007127,0.012702,-0.013035,-0.060167,0.043754,-0.064642,-0.024723,0.033499
0.113239,-0.1206,0.17216,0.037232,0.099548,0.081697,0.005024,0.053256
-0.052987,-0.007274,-0.055834,0.005439,0.025854,-0.019038,0.038739,0.012047
-0.017097,-0.068914,-0.026044,0.022257,0.05356,-0.033949,-0.02475,-0.056519
-0.040075,-0.053724,0.027023,0.055839,-0.032086,0.014049,0.050287,0.065475
-0.000127,0.036848,-0.015097,-0.000086,0.027371,0.05286,-0.011825,-0.019845
-0.011495,-0.037368,-0.015385,0.000973,0.002666,-0.017114,-0.004332,-0.043794
-0.033821,0.01792,-0.018438,-0.013519,-0.002398,0.041073,-0.012929,0.002261
-0.014967,-0.061955,-0.015134,0.000411,0.039449,-0.074391,-0.006036,-0.044609
0.024279,-0.011176,0.037025,0.045269,-0.005579,-0.044991,0.009516,0.018317
0.005322,0.000797,-0.037668,0.003993,0.090197,-0.07274,0.00478,-0.011318
0.01396,0.009933,0.025164,0.006879,0.040319,-0.048818,-0.086556,-0.013207
0.031332,0.036059,0.003703,0.00291,0.019552,0.029343,0.011471,-0.070947
-0.030988,0.029117,-0.026062,-0.02724,0.007071,0.013496,0.006088,-0.010048
-0.032375,0.002185,-0.006184,-0.010744,0.013343,0.030665,-0.0251,0.012049
-0.003724,-0.004647,0.019496,-0.035728,0.014947,-0.029762,-0.008624,-0.05431
0.066483,-0.035694,0.047053,-0.025828,0.011922,0.041233,-0.045531,0.014785
-0.027119,0.001684,0.010872,0.007711,0.024744,-0.016163,0.031056,0.025631
0.083796,0.005543,0.022767,0.023817,0.028231,-0.057373,-0.070747,-0.008046
-0.019441,-0.029886,0.01018,0.014482,-0.043778,-0.023423,-0.043698,-0.028111
-0.069084,-0.115786,0.089188,0.077173,0.048771,0.043723,0.114311,0.033063
-0.060199,-0.046774,0.084518,0.031673,-0.028439,0.037097,-0.003137,0.043519
-0.035126,0.037753,-0.023195,0.009528,0.025679,-0.003321,0.009814,-0.032534
-0.00069,-0.043814,0.000396,-0.007796,-0.058072,-0.006167,-0.033163,-0.016146
-0.011974,0.010985,-0.003508,0.018554,0.021256,-0.015126,0.009123,-0.066124
-0.025582,0.029686,0.001404,0.010522,0.006898,0.035615,0.003206,-0.038855
-0.025296,0.021341,-0.05589,-0.018753,0.007469,0.014918,0.021153,0.013741
0.020063,-0.075703,0.072391,0.030989,-0.052894,0.07272,-0.057828,0.001268
-0.00496,0.025393,-0.030924,-0.037138,0.036267,-0.005543,-0.01041,0.014049
0.011402,0.039293,-0.021916,-0.043752,0.006154,-0.004767,-0.018986,0.036126
-0.032889,0.03773,-0.01444,-0.018792,0.004496,-0.013581,0.007318,-0.012978
0.013241,-0.021828,0.112874,-0.022559,0.036899,-0.018211,0.053577,-0.010669
0.075773,-0.028582,0.041325,0.025504,0.003822,-0.005267,-0.076106,0.0377
-0.001254,0.011926,0.040368,-0.003699,0.019207,-0.070458,0.029924,-0.013833
0.046637,-0.063727,0.011606,-0.114089,-0.021221,-0.04105,0.001919,-0.008263
-0.007512,0.015998,-0.023613,-0.01964,0.021398,0.017016,-0.041795,0.009961
0.0445,0.038096,-0.040807,0.039347,-0.054027,-0.04139,0.061974,0.012878
-0.008425,-0.020587,-0.012037,-0.003349,-0.02243,-0.02251,0.012795,-0.035652
0.05339,-0.026218,-0.019878,0.020632,-0.007859,0.039936,-0.019769,0.006656
0.061864,-0.087079,-0.017187,-0.114605,-0.002508,-0.035611,0.027063,-0.006794
0.037554,-0.002791,-0.040605,-0.039756,0.061804,-0.01281,-0.038131,0.037069
-0.024216,0.005388,-0.007194,-0.034221,-0.008125,0.003114,0.03396,-0.054476
0.012502,-0.033301,0.013977,-0.113385,-0.041991,-0.059224,0.035181,-0.010315
0.019848,-0.045171,-0.044463,0.022435,0.019681,0.012286,-0.100244,0.043628
-0.037406,0.053015,0.006474,-0.033771,0.00724,0.003643,0.000658,0.004502
0.013752,0.030407,0.000205,0.021297,-0.019133,-0.006869,0.02007,-0.050486
-0.028419,0.04889,-0.043096,-0.013475,0.02601,0.046218,-0.011858,0.037976
-0.016599,-0.047896,-0.000918,0.03409,-0.079617,-0.011376,-0.055033,-0.00969
-0.006509,0.014541,-0.045577,-0.02349,0.034293,0.014186,-0.017255,0.058483
-0.024934,0.024072,0.007268,-0.026777,-0.016635,-0.003865,-0.048135,0.003461
-0.004411,0.015712,0.004124,-0.017223,0.017066,0.029704,0.025137,-0.009138
0.078386,0.00638,-0.012868,0.033007,-0.045283,0.011599,0.009261,-0.024006
0.016951,-0.039846,0.063845,0.000805,0.022453,0.068503,0.011901,-0.030317
-0.002797,-0.028674,-0.030122,-0.000996,0.024375,-0.04353,0.041296,-0.048406
-0.038801,-0.012582,0.021731,0.020506,-0.024736,-0.01574,-0.043009,0.027198
-0.031208,-0.008862,0.030784,0.045016,-0.008798,-0.003347,-0.008542,-0.013865
-0.00198,0.008978,0.007517,0.04057,-0.022237,-0.060128,-0.001313,-0.039044
0.03521,0.021102,-0.031196,0.04004,-0.046154,0.005962,0.05295,-0.033513
0.040573,0.026997,0.030908,0.02257,-0.029035,0.001221,-0.009974,0.025669
-0.028876,-0.043245,0.099674,0.054133,0.018638,0.041255,0.039249,0.057888
0.000452,-0.03666,-0.019483,0.028791,0.045491,0.02867,0.024142,0.035619
-0.010595,0.029187,0.021116,-0.029445,-0.014063,0.024755,-0.016719,-0.017202
-0.03227,0.024607,-0.018891,-0.005055,-0.007037,-0.0008,-0.013543,0.047681
-0.026713,0.008456,-0.050566,0.015277,0.034616,0.04199,0.008047,-0.007399
0.017578,-0.010188,-0.03012,-0.02444,0.03123,0.018558,0.01311,0.015252
0.043796,-0.042535,-0.013616,0.011825,0.055108,0.024144,-0.004529,0.035646
-0.007396,-0.019953,-0.001551,-0.044754,0.023389,0.001099,0.024026,0.060353
0.089992,0.048897,-0.012732,-0.005656,-0.070845,-0.054535,0.103195,-0.008591
-0.002579,-0.014631,0.024962,-0.021742,0.02571,-0.027824,-0.035143,0.023552
-0.023345,0.020377,0.07533,0.008157,0.012525,0.019895,0.046901,0.030714
-0.009545,0.01649,0.023531,0.018677,0.041811,0.027152,0.032789,-0.004871
-0.03878,-0.04785,0.034493,0.045206,-0.057895,0.027229,-0.069825,0.036414
0.077852,-0.00151,0.002457,0.031622,-0.052996,0.014623,-0.025311,-0.02015
0.072267,-0.058436,0.000622,-0.115939,-0.005237,-0.066466,0.038121,-0.006825
-0.011165,0.016951,0.020055,-0.032353,0.022673,-0.020165,0.012655,0.020355
-0.041534,0.030009,-0.041086,0.015612,-0.02115,0.027403,-0.013255,0.040211
-0.06298,-0.091039,-0.063369,0.058101,0.018658,-0.023589,-0.003897,-0.045248
0.010317,0.043921,0.019782,0.009932,-0.004291,-0.037399,0.017163,-0.056563
-0.036687,0.009033,-0.024967,0.002765,0.012699,-0.008487,0.022462,0.029897
-0.000726,0.024956,0.059671,0.009602,-0.035973,-0.039607,-0.031346,0.019781
-0.0288,0.026249,0.036223,-0.009381,0.021092,-0.004645,0.042219,-0.035592
0.073808,-0.030054,0.022222,-0.006517,0.064191,0.042573,0.000877,-0.014885
